IdSeller,Seller,id_loja,Role,Wage
80,Camila Scott,783,Sales consultant,1400
81,Camila Taylor,347,Sales consultant,1400
82,Camila Thomas,1046,Sales consultant,1400
83,Caroline Anderson,337,Sales consultant,1400
84,Caroline Garcia,347,Sales consultant,1400
85,Caroline Lewis,321,Sales consultant,1400
86,Caroline Reed,358,Sales consultant,1400
87,Caroline Stewart,327,Sales consultant,1400
88,Carter Bell,347,Sales consultant,1400
89,Carter Martin,322,Sales consultant,1400
90,Carter Perez,1046,Sales consultant,1400
91,Carter Rogers,354,Sales consultant,1400
92,Charles Hernandez,784,Sales consultant,1400
93,Charles Parker,330,Sales consultant,1400
94,Charles Roberts,319,Sales consultant,1400
95,Charles Thompson,324,Sales consultant,1400
96,Charlotte Brown,392,Sales consultant,1400
97,Charlotte Cook,655,Sales Manager,2500
98,Charlotte Phillips,348,Sales consultant,1400
99,Charlotte Robinson,357,Sales consultant,1400
100,Charlotte Sanchez,320,Sales consultant,1400
101,Chloe Anderson,332,Sales consultant,1400
102,Chloe Gonzalez,704,Sales consultant,1400
103,Chloe Harris,354,Sales consultant,1400
104,Chloe Morris,283,Sales consultant,1400
105,Chloe Scott,352,Sales consultant,1400
106,Christopher Adams,337,Sales consultant,1400
107,Christopher Martin,320,Sales consultant,1400
108,Christopher Miller,338,Sales consultant,1400
109,Claire Carter,333,Sales consultant,1400
110,Claire Lewis,655,Sales consultant,1400
111,Claire Martin,352,Sales consultant,1400
112,Claire Smith,352,Sales consultant,1400
113,Claire Young,359,Sales consultant,1400
114,Daniel Martin,327,Sales consultant,1400
115,Daniel Phillips,543,Sales consultant,1400
116,Daniel Thompson,357,Sales consultant,1400
117,David Lee,346,Sales consultant,1400
118,David Thomas,543,Sales consultant,1400
119,Dylan Lewis,285,Sales consultant,1400
120,Dylan Scott,326,Sales consultant,1400
121,Dylan Turner,354,Sales consultant,1400
122,Eleanor Baker,352,Sales consultant,1400
123,Eleanor Jones,336,Sales consultant,1400
124,Eleanor Lopez,337,Sales consultant,1400
125,Eleanor Moore,358,Sales consultant,1400
126,Eleanor Smith,773,Sales consultant,1400
127,Elijah Brown,331,Sales consultant,1400
128,Elijah Davis,322,Sales consultant,1400
129,Elijah Evans,347,Sales consultant,1400
130,Elijah Wilson,347,Sales consultant,1400
131,Ella Allen,334,Sales consultant,1400
132,Ella Hernandez,654,Sales consultant,1400
133,Ella Rogers,773,Sales Manager,2500
134,Ella Williams,349,Sales consultant,1400
135,Ellie Bell,349,Sales consultant,1400
136,Ellie Carter,285,Sales consultant,1400
137,Ellie Perez,332,Sales consultant,1400
138,Ellie Reed,350,Sales consultant,1400
139,Ellie Williams,354,Sales consultant,1400
140,Emily Campbell,320,Sales consultant,1400
141,Emily Davis,356,Sales consultant,1400
142,Emily Lee,339,Sales consultant,1400
143,Emily Roberts,359,Sales consultant,1400
144,Emily Stewart,704,Sales consultant,1400
145,Emma King,359,Sales consultant,1400
146,Emma Mitchell,349,Sales consultant,1400
147,Emma Turner,330,Sales consultant,1400
148,Emma Wilson,339,Sales consultant,1400
149,Ethan Adams,978,Sales consultant,1400
150,Ethan Clark,337,Sales Manager,2500
151,Ethan Rogers,346,Sales consultant,1400
152,Evelyn Lopez,332,Sales consultant,1400
153,Evelyn Parker,347,Sales consultant,1400
154,Evelyn Robinson,783,Sales consultant,1400
155,Evelyn Rogers,784,Sales consultant,1400
156,Evelyn Walker,350,Sales Manager,2500
157,Ezra Carter,773,Sales consultant,1400
158,Ezra Scott,351,Sales consultant,1400
159,Ezra Turner,324,Sales consultant,1400
160,Ezra Wright,329,Sales consultant,1400
161,Gabriel Allen,320,Sales consultant,1400
162,Gabriel Lee,321,Sales consultant,1400
163,Gabriel Mitchell,322,Sales consultant,1400
164,Gabriel White,392,Sales consultant,1400
165,Genesis Ramirez,283,Sales consultant,1400
166,Genesis Rodriguez,352,Sales consultant,1400
167,Genesis Stewart,358,Sales consultant,1400
168,Grace Collins,334,Sales consultant,1400
169,Grace Green,354,Sales consultant,1400
170,Grace Perez,654,Sales Manager,2500
171,Grace Roberts,319,Sales consultant,1400
172,Grace Stewart,331,Sales Manager,2500
173,Grayson Garcia,284,Sales consultant,1400
174,Grayson Martin,285,Sales consultant,1400
175,Grayson Phillips,327,Sales consultant,1400
176,Grayson Wilson,348,Sales Manager,2500
177,Hannah Campbell,321,Sales consultant,1400
178,Hannah Hernandez,326,Sales consultant,1400
179,Hannah Jackson,327,Sales consultant,1400
180,Hannah Scott,321,Sales consultant,1400
181,Harper Garcia,283,Sales consultant,1400
182,Harper King,330,Sales consultant,1400
183,Harper Martin,359,Sales consultant,1400
184,Harper Morgan,783,Sales consultant,1400
185,Hazel Moore,354,Sales consultant,1400
186,Hazel Murphy,655,Sales consultant,1400
187,Hazel Nelson,353,Sales consultant,1400
188,Hazel Rogers,324,Sales consultant,1400
189,Henry Parker,331,Sales consultant,1400
190,Henry Rodriguez,346,Sales Manager,2500
191,Henry Scott,338,Sales Manager,2500
192,Henry Taylor,349,Sales Manager,2500
193,Hudson Green,392,Sales consultant,1400
194,Hudson Harris,358,Sales consultant,1400
195,Hudson Sanchez,783,Sales consultant,1400
196,Isaac Martin,322,Sales consultant,1400
197,Isaac Nelson,332,Sales Manager,2500
198,Isaac Robinson,335,Sales consultant,1400
199,Isaac White,284,Sales consultant,1400
200,Isabella Adams,336,Sales consultant,1400
201,Isabella Lopez,773,Sales consultant,1400
202,Isabella Robinson,335,Sales consultant,1400
203,Isabella Sanchez,282,Sales consultant,1400
204,Isabella Stewart,331,Sales consultant,1400
205,Jack Edwards,332,Sales consultant,1400
206,Jack Miller,322,Sales consultant,1400
207,Jack Turner,285,Sales consultant,1400
208,Jackson Clark,283,Sales consultant,1400
209,Jackson Jackson,329,Sales consultant,1400
210,Jackson Sanchez,326,Sales Manager,2500
211,Jacob Collins,704,Sales consultant,1400
212,Jacob Jones,356,Sales consultant,1400
213,Jacob Sanchez,357,Sales consultant,1400
214,Jacob Thompson,282,Sales consultant,1400
215,James Adams,319,Sales consultant,1400
216,James King,330,Sales consultant,1400
217,James Thompson,351,Sales consultant,1400
218,James Walker,283,Sales consultant,1400
219,Jaxon Allen,655,Sales consultant,1400
220,Jaxon Miller,331,Sales consultant,1400
221,Jaxon Mitchell,1046,Sales Manager,2500
222,Jaxon Young,329,Sales consultant,1400
223,Jayden Gonzalez,331,Sales consultant,1400
224,Jayden Johnson,356,Sales consultant,1400
225,Jayden Jones,321,Sales consultant,1400
226,Jayden Wright,783,Sales Manager,2500
227,John Allen,357,Sales consultant,1400
228,John Rodriguez,284,Sales consultant,1400
229,Joseph Evans,285,Sales consultant,1400
230,Joseph Martinez,282,Sales consultant,1400
231,Joseph Phillips,322,Sales consultant,1400
232,Joseph Williams,320,Sales consultant,1400
233,Josiah Cook,352,Sales Manager,2500
234,Josiah Jackson,783,Sales consultant,1400
235,Josiah Sanchez,283,Sales consultant,1400
236,Julian Cook,335,Sales consultant,1400
237,Julian Martin,319,Sales consultant,1400
238,Julian Sanchez,331,Sales consultant,1400
239,Julian Wright,359,Sales consultant,1400
240,Kennedy Clark,351,Sales consultant,1400
241,Kennedy Rogers,332,Sales consultant,1400
242,Kennedy White,285,Sales consultant,1400
243,Kinsley Brown,356,Sales consultant,1400
244,Kinsley Johnson,543,Sales consultant,1400
245,Kinsley Moore,339,Sales consultant,1400
246,Kinsley Reed,327,Sales consultant,1400
247,Kinsley Stewart,320,Sales consultant,1400
248,Layla Edwards,285,Sales consultant,1400
249,Layla Jones,337,Sales consultant,1400
250,Layla Nelson,285,Sales Manager,2500
251,Layla Reed,331,Sales consultant,1400
252,Layla Taylor,331,Sales consultant,1400
253,Leah Collins,352,Sales consultant,1400
254,Leah Johnson,354,Sales consultant,1400
255,Leah Lopez,338,Sales consultant,1400
256,Leah Morris,327,Sales consultant,1400
257,Leah Phillips,320,Sales consultant,1400
258,Leo Nelson,655,Sales consultant,1400
259,Leo Rodriguez,704,Sales consultant,1400
260,Leo Thomas,326,Sales consultant,1400
261,Levi Moore,331,Sales consultant,1400
262,Levi Ramirez,326,Sales consultant,1400
263,Levi Rodriguez,543,Sales consultant,1400
264,Levi Walker,321,Sales consultant,1400
265,Liam Brown,498,Sales consultant,1400
266,Liam Evans,330,Sales consultant,1400
267,Liam Harris,348,Sales consultant,1400
268,Liam Nelson,334,Sales consultant,1400
269,Lillian Harris,654,Sales consultant,1400
270,Lillian Hernandez,320,Sales consultant,1400
271,Lillian Turner,347,Sales Manager,2500
272,Lillian Wright,1046,Sales consultant,1400
273,Lily Baker,285,Sales consultant,1400
274,Lily Cook,327,Sales Manager,2500
275,Lily Green,339,Sales Manager,2500
276,Lily Roberts,783,Sales consultant,1400
277,Lily Sanchez,347,Sales consultant,1400
278,Lincoln Martinez,358,Sales consultant,1400
279,Lincoln Roberts,978,Sales consultant,1400
280,Lincoln Wright,351,Sales Manager,2500
281,Logan Allen,330,Sales consultant,1400
282,Logan Campbell,357,Sales consultant,1400
283,Logan Murphy,784,Sales consultant,1400
284,Logan Ramirez,784,Sales consultant,1400
285,Lucas Gonzalez,392,Sales consultant,1400
286,Lucas Miller,322,Sales consultant,1400
287,Lucas Scott,356,Sales consultant,1400
288,Lucas Smith,327,Sales consultant,1400
289,Lucy Baker,322,Sales consultant,1400
290,Lucy Bell,319,Sales Manager,2500
291,Lucy Sanchez,704,Sales consultant,1400
292,Lucy Smith,322,Sales consultant,1400
293,Lucy Stewart,704,Sales Manager,2500
294,Luke Green,350,Sales consultant,1400
295,Luke Murphy,773,Sales consultant,1400
296,Luke Nelson,350,Sales consultant,1400
297,Luke Taylor,988,Sales Manager,2500
298,Luna Edwards,773,Sales consultant,1400
299,Luna Gonzalez,327,Sales consultant,1400
300,Luna Lewis,338,Sales consultant,1400
301,Luna White,324,Sales consultant,1400
302,Luna Wright,392,Sales consultant,1400
303,Madelyn Cook,351,Sales consultant,1400
304,Madelyn Garcia,327,Sales consultant,1400
305,Madelyn Jackson,338,Sales consultant,1400
306,Madelyn Lee,358,Sales consultant,1400
307,Madison Allen,349,Sales consultant,1400
308,Madison Clark,326,Sales consultant,1400
309,Madison Hernandez,978,Sales Manager,2500
310,Madison Turner,352,Sales consultant,1400
311,Madison Wright,339,Sales consultant,1400
312,Mason Adams,324,Sales consultant,1400
313,Mason Baker,335,Sales consultant,1400
314,Mason Robinson,335,Sales Manager,2500
315,Mason Sanchez,978,Sales consultant,1400
316,Mateo Jones,336,Sales consultant,1400
317,Mateo Rodriguez,359,Sales Manager,2500
318,Mateo Rogers,284,Sales consultant,1400
319,Mateo Turner,354,Sales consultant,1400
319,Mateo Turner,354,Sales Manager,2500
320,Matthew Davis,320,Sales consultant,1400
321,Matthew Garcia,284,Sales consultant,1400
322,Matthew Harris,332,Sales consultant,1400
323,Maverick King,498,Sales consultant,1400
324,Maverick Robinson,329,Sales consultant,1400
325,Maverick Walker,338,Sales consultant,1400
326,Maverick Young,321,Sales Manager,2500
327,Maya Carter,334,Sales Manager,2500
328,Maya Collins,319,Sales consultant,1400
329,Maya Jones,988,Sales consultant,1400
330,Mia Martinez,331,Sales consultant,1400
331,Mia Miller,283,Sales Manager,2500
332,Mia Murphy,284,Sales consultant,1400
333,Mia Sanchez,784,Sales consultant,1400
334,Michael Hernandez,784,Sales consultant,1400
335,Michael King,283,Sales consultant,1400
336,Michael Mitchell,351,Sales consultant,1400
337,Michael Rodriguez,704,Sales consultant,1400
338,Mila Allen,352,Sales consultant,1400
339,Mila Anderson,543,Sales consultant,1400
340,Mila Martinez,392,Sales consultant,1400
341,Mila Morris,358,Sales consultant,1400
342,Mila Roberts,784,Sales consultant,1400
343,Natalie Martinez,283,Sales consultant,1400
344,Natalie Mitchell,285,Sales consultant,1400
345,Natalie Robinson,332,Sales consultant,1400
346,Natalie Thomas,329,Sales consultant,1400
347,Natalie Turner,356,Sales Manager,2500
348,Noah Cook,988,Sales consultant,1400
349,Noah Robinson,324,Sales Manager,2500
350,Noah Young,988,Sales consultant,1400
351,Nora Campbell,319,Sales consultant,1400
352,Nora Gonzalez,336,Sales consultant,1400
353,Nora Jackson,322,Sales consultant,1400
354,Nora Ramirez,783,Sales consultant,1400
355,Nora Reed,330,Sales Manager,2500
356,Oliver Carter,346,Sales consultant,1400
357,Oliver Clark,327,Sales consultant,1400
358,Oliver Davis,704,Sales consultant,1400
359,Oliver Stewart,352,Sales consultant,1400
360,Olivia Baker,773,Sales consultant,1400
361,Olivia Clark,324,Sales consultant,1400
362,Olivia Lewis,783,Sales consultant,1400
363,Olivia Mitchell,329,Sales Manager,2500
364,Owen Campbell,346,Sales consultant,1400
365,Owen Sanchez,334,Sales consultant,1400
366,Owen Wright,327,Sales consultant,1400
367,Paisley Adams,332,Sales consultant,1400
368,Paisley Baker,654,Sales consultant,1400
369,Paisley Stewart,354,Sales consultant,1400
370,Paisley Wilson,338,Sales consultant,1400
371,Penelope Carter,285,Sales consultant,1400
372,Penelope Lopez,321,Sales consultant,1400
373,Penelope Martinez,334,Sales consultant,1400
374,Penelope Morgan,357,Sales consultant,1400
375,Riley Carter,339,Sales consultant,1400
376,Riley Edwards,330,Sales consultant,1400
377,Riley King,498,Sales Manager,2500
378,Riley Perez,392,Sales Manager,2500
379,Samantha Hernandez,327,Sales consultant,1400
380,Samantha King,704,Sales consultant,1400
381,Samantha Sanchez,773,Sales consultant,1400
382,Samantha Thomas,284,Sales consultant,1400
383,Samantha Williams,356,Sales consultant,1400
384,Samuel Clark,333,Sales consultant,1400
385,Samuel Davis,327,Sales consultant,1400
386,Samuel Hernandez,347,Sales consultant,1400
387,Samuel Sanchez,351,Sales consultant,1400
388,Sarah Baker,773,Sales consultant,1400
389,Sarah Brown,283,Sales consultant,1400
390,Sarah Jones,346,Sales consultant,1400
391,Sarah Parker,321,Sales consultant,1400
392,Savannah Morris,353,Sales consultant,1400
393,Savannah Sanchez,358,Sales Manager,2500
394,Savannah Thompson,322,Sales consultant,1400
395,Savannah Turner,332,Sales consultant,1400
396,Savannah Wright,350,Sales consultant,1400
397,Scarlett Carter,349,Sales consultant,1400
398,Scarlett Morris,321,Sales consultant,1400
399,Scarlett Smith,336,Sales consultant,1400
400,Scarlett Taylor,332,Sales consultant,1400
401,Scarlett Wilson,543,Sales Manager,2500
402,Sebastian Perez,704,Sales consultant,1400
403,Sebastian Roberts,357,Sales Manager,2500
404,Sebastian Stewart,333,Sales consultant,1400
405,Skylar Adams,339,Sales consultant,1400
406,Skylar Allen,978,Sales consultant,1400
407,Skylar Garcia,358,Sales consultant,1400
408,Skylar Jackson,333,Sales Manager,2500
409,Skylar Roberts,284,Sales consultant,1400
410,Sophia Baker,326,Sales consultant,1400
411,Sophia Morgan,331,Sales consultant,1400
412,Sophia Walker,349,Sales consultant,1400
413,Sophia Wright,284,Sales consultant,1400
414,Sophia Young,543,Sales consultant,1400
415,Stella Bell,338,Sales consultant,1400
416,Stella Campbell,334,Sales consultant,1400
417,Stella Roberts,353,Sales Manager,2500
418,Stella Robinson,784,Sales consultant,1400
419,Stella Rodriguez,358,Sales consultant,1400
460,Taylor Alves,350,Sales consultant,1400
462,Taylor Bird,333,Sales consultant,1400
463,Taylor Bridge,283,Sales consultant,1400
461,Taylor Martin,352,Sales consultant,1400
464,Taylor Tower,347,Sales consultant,1400
420,Theodore Collins,283,Sales consultant,1400
421,Theodore Robinson,327,Sales consultant,1400
422,Theodore Sanchez,331,Sales consultant,1400
423,Thomas Adams,392,Sales consultant,1400
424,Thomas Garcia,284,Sales consultant,1400
425,Thomas Lewis,327,Sales consultant,1400
426,Thomas Martin,359,Sales consultant,1400
427,Victoria Anderson,783,Sales consultant,1400
428,Victoria Jackson,333,Sales consultant,1400
429,Victoria Reed,336,Sales Manager,2500
430,Victoria Williams,333,Sales consultant,1400
431,Violet Garcia,498,Sales consultant,1400
432,Violet Hernandez,282,Sales consultant,1400
433,Violet Morris,332,Sales consultant,1400
434,Violet Roberts,543,Sales consultant,1400
435,Violet Thompson,338,Sales consultant,1400
436,William Collins,283,Sales consultant,1400
437,William Johnson,784,Sales consultant,1400
437,William Johnson,784,Sales Manager,2500
438,William Reed,392,Sales consultant,1400
439,William Wright,654,Sales consultant,1400
456,Wilson Donuts,324,Sales consultant,1400
452,Wilson Eloy,353,Sales consultant,1400
458,Wilson Johnson,284,Sales consultant,1400
455,Wilson Jr.,337,Sales consultant,1400
454,Wilson Lee,784,Sales consultant,1400
453,Wilson Morgan,704,Sales consultant,1400
457,Wilson Reed,704,Sales consultant,1400
459,Wilson Taylor,283,Sales consultant,1400
451,Wilson Turner,320,Sales consultant,1400
440,Wyatt Martin,352,Sales consultant,1400
441,Wyatt Nelson,324,Sales consultant,1400
442,Wyatt Scott,282,Sales consultant,1400
443,Zoe Davis,282,Sales consultant,1400
444,Zoe Green,284,Sales consultant,1400
444,Zoe Green,284,Sales Manager,2500
445,Zoe Johnson,336,Sales consultant,1400
446,Zoe Lee,784,Sales consultant,1400
447,Zoey Morgan,356,Sales consultant,1400
448,Zoey Rodriguez,773,Sales consultant,1400
449,Zoey Turner,655,Sales consultant,1400
450,Zoey Williams,784,Sales consultant,1400
